is_review_fake_cycles,is_review_fake_jaccard,constant,score,score_2,score_3,score_4,dist_1st_rev,predict_review_text_and_header,review_helpful,verified_purchase,has_images_or_videos,asin,amazon_seller,trend,numb_stars,review_posted_date,review_title,review_text,review_author
1.0,0.0,1,0.503534922393642,0.253547418069971,0.12766997948097114,0.06428629320994866,20.27928168,1.0,2.0,1,0.0,B071CZ2F3N,/Tenergy/b/ref=bl_dp_s_web_2530602011?ie=UTF8&node=2530602011&field-lbr_brands_browse-bin=Tenergy,209.70931968,5.0,30 Oct 2017,"Small, fun to fly, easy to use.","Very fun either indoors or outdoors. Can't stop playing with this little quad. Been flying it non stop here because the weather outside has been too windy to fly. I did get to fly it outside the first day getting it and it performed great. This isn't a drone to fly in any wind whatsoever. It will handle a very small breeze, but any significant wind will make it a chore to fly. It is very lightweight and can get pushed around easily in wind over 1 or 2 miles per hour. It does have decent range for a smaller quad. Wi-Fi fpv gets ok range, about as average as Wi-Fi fpv gets. Don't expect long range with it. Flying inside the house is another story. Using the Wi-Fi fpv inside is awesome. Flying and avoiding and dodging everything is so much fun. This little thing can take some light abuse. I flew it into many things while using the Wi-Fi fpv before actually getting used to using it. Still rather new to fpv flying. Used to flying by line of sight. Other than a few minor crashes into the fridge and a couple walls it's been a blast to be able to fly indoors when the weather isn't great. Not too big to fly indoors at all. Roughly the size of a dinner plate. The controls are pretty easy to learn and pretty basic. The same as most quads out there now. Two speeds, flips, auto takeoff/landing. Now the app is a different story. Controlling using that is odd because it's foreign to me, but I'm learning it. It's a little more sensitive and touchy to fly with it. I'm used to using transmitters so it's been a learning experience to say the least, but it's been fun learning a new way to fly. Is has two batteries, extra props, prop guards, camera, phone holder and screwdriver with it. Does not come with a micro sd card for the camera, but you can record video to the app or take pictures. They will only be in 480p and not 720p. To record in 720p, you will need to have a micro sd card inserted into the camera.",AHSDFDECCDNRBGRV5AUTFDDPSMFA
0.0,0.0,1,0.4986293346983548,0.24863121342172392,0.12397481653371886,0.06181748028755883,18.70789032,1.0,15.0,1,1.0,B071CZ2F3N,/Tenergy/b/ref=bl_dp_s_web_2530602011?ie=UTF8&node=2530602011&field-lbr_brands_browse-bin=Tenergy,208.13792832,5.0,19 Oct 2017,This drone was amazing. I reviewed the box out immediately,"This drone was amazing. I reviewed the box out immediately,will not damage the inside of the thing.the product is easy hookup,the drone has come with two batteries,need quite a few more,because your can get about 10 minutes flying time with a set,I hear some one told me is difficult control this product.with the phone was very easy controls,you must be downloaded the App first,connected the wifi,and then use phone can be easy setup,which has a very detailed description,there is no difficulty,can rotate automatic 360 flips motion,also can set the flight path mode,click on a button directly back to the ground preferably on the grass,will not have any wear on the appearance of the drone.we are fun for the family day.",AHWRMMZSLNIFH2FEIDDPA6AUBRFQ
0.0,0.0,1,0.4992810145226236,0.24928153146274026,0.12446153593047027,0.06214128192840916,17.993621519999998,1.0,1.0,1,1.0,B071CZ2F3N,/Tenergy/b/ref=bl_dp_s_web_2530602011?ie=UTF8&node=2530602011&field-lbr_brands_browse-bin=Tenergy,207.42365952,5.0,14 Oct 2017,THE BEST CHOICE,"This is a great drone. It is simple to fly and easy to set up. It does take a bit of time to figure out the controls to get it to fly perfect, but once you do it is smooth flying. This is a very lightweight drone so be sure not to fly it on windy days I love this quadcopter! It's smooth and stable and works so well. I love the camera on it. It is very clear. My favorite thing about this item is the batteries. The batteries are hot swappable. Flight time is about 7-8 minutes per battery, This is very stable. It has altitude hold. It will allow you to be able to fly it smoothly indoors and outdoors without a steep drop every time you try to flip or change altitude. It's highly stable and I have video of this which I will upload soon as well. It has a fast mode so technically you could race this. The delay is not too laggy. It's pretty nice. has outdone themselves on this drone in my opinion and I absolutely would purchase. . This blows that drone away though and I recommend this for any new flyers.",AGDXVESFFQAPWNPV2GGDHUS4WZRA
0.0,0.0,1,0.5069911243292765,0.2570400001486639,0.13031699867296853,0.06606956167642515,27.993384719999998,1.0,1.0,1,0.0,B071CZ2F3N,/Tenergy/b/ref=bl_dp_s_web_2530602011?ie=UTF8&node=2530602011&field-lbr_brands_browse-bin=Tenergy,217.42342272,5.0,23 Dec 2017,EXCELLENT drone for a beginner! (FAA registration NOT required),"I own a number of much more expensive drones but those are really not for kids. My daughter loves to fly and is very careful when I supervise her. I thought it was time she got her own drone. I bought this one for her for Christmas and tested it out when she was away at school. I’m quite pleased with it! To be clear, this is a toy and that’s a GOOD thing. Since it’s under 0.55lbs it does NOT need to be registered with the FAA. That being said, everything is as you would expect. One of the most important things to look for in a drone is the ability to “self hover”. You should be able to take your fingers off the sticks and have the drone just sit there in place. It does this quite well. The drone comes with a camera and can take 720P video or photos. It requires a Micro SD card which is NOT included but can be purchased very inexpensively almost anywhere. I recommend getting one as that adds to the fun. :-)",AEAETX7SSYFZWSSGKSB3GXHZYXQA
0.0,0.0,1,0.5050504679116277,0.25507597513775404,0.12882624059633738,0.06506375309247613,23.27921064,,1.0,1,0.0,B071CZ2F3N,/Tenergy/b/ref=bl_dp_s_web_2530602011?ie=UTF8&node=2530602011&field-lbr_brands_browse-bin=Tenergy,212.70924864,3.0,20 Nov 2017,Fixed problem——Is it just mine?,"90 day update I randomly expirences this quad falling out of the sky in midflight. Battery was charged fully and still in after it hit the ground every time. It’s in the bottom of my lake now and I can see the lights flashing under water so I know the power is just fine. I have dozens of drones and never had this problem before so if it’s does that send it back while you can or u could end up with nothing like I have. A lot of others have no problems guess I just got a bad one. Once i installed the syma go ap. It began to respond as I thought it should. Dont know if that was the problem but i changes mu rating to 5 star. Im happy with it for the money i spent. Good buy! Just wish they sold batteries on amazon that were yellow I have about a dozen quads and I just got this one ,my question is ..... Is it just mine that’s completely slow and can’t even get out of its own way even in fast mode. It has like zero arrange too. I was really looking forward to getting this thing to use around my place when i dont feel like dragging my p4pro out. hopefully its jut mine and I can get a good one",AH75KRXYC62P5VYG4UNQCH3VZIAQ
1.0,0.0,1,0.4965688865528303,0.24658065909231766,0.12244428333093522,0.060802021438401785,16.422230159999998,1.0,0.0,1,1.0,B071CZ2F3N,/Tenergy/b/ref=bl_dp_s_web_2530602011?ie=UTF8&node=2530602011&field-lbr_brands_browse-bin=Tenergy,205.85226816,5.0,03 Oct 2017,Tenergy Syma X5UW Quadcopter Drone with HD 720P Camera,"This is a good light-weight drone which comes with 720P HD camera (optional installation). The camera module can be removed to save battery. It comes with spare propellers and propeller guards as well. This drone can be controlled with 2 methods - 1. the included remote controller and 2. smartphone app - ""Syma Go"", which is available on both iOS and Android. I like that it comes with 2 batteries so I can get 2X fly time with it. It takes about 80 mins to charge one battery with the included USB charger and the fly time is about 7 minutes. One key take off/ land and 3D flip are available on the remote controller. The drone flies pretty well and easy to control as long as the wind is not too strong. The recording from camera can be saved to either memory card (720P, not included) or onto smartphone (480P). There are some unique features available in the smartphone app only such as gesture fly - I can draw a path on my smartphone screen and the drone will try to fly along the path and gravity control - I can tilt my smartphone to control the drone instead of using the on-screen joy sticks.",AHLBMLMV2O2RYBICUW643KWO7M2A
1.0,0.0,1,0.5069911243292765,0.2570400001486639,0.13031699867296853,0.06606956167642515,27.993384719999998,1.0,1.0,1,0.0,B071CZ2F3N,/Tenergy/b/ref=bl_dp_s_web_2530602011?ie=UTF8&node=2530602011&field-lbr_brands_browse-bin=Tenergy,217.42342272,5.0,23 Dec 2017,Cool Drone with Camera,"I'm new to flying drones so I wanted something that was good for a beginner. I did some research for a beginner drone so that I could buy one with confidence. I really wanted one with a good camera, since I wanted to have a birds eye view of my neighborhood. I'm having so much fun flying it all over my neighborhood, it looks like a giant beetle in the sky, zipping all around. I've even flown it into the side of my house, but it's a tough bugger and it kept right on flying! The controls take a bit to get used to especially because I'm a beginner but it doesn't take long to figure it out. It's entertaining for the whole family, even my younger nephew could fly it without trouble. I'm very happy with my purchase!",AHSYWB4G2FNKHP5Z5N4FZCNIBKKA
0.0,0.0,1,0.49852318912343496,0.2485253700938001,0.12389566007724317,0.06176485958026031,17.707914,1.0,1.0,1,1.0,B071CZ2F3N,/Tenergy/b/ref=bl_dp_s_web_2530602011?ie=UTF8&node=2530602011&field-lbr_brands_browse-bin=Tenergy,207.13795199999998,5.0,12 Oct 2017,It came in a very secure package with easy to assemble pieces,My first Drone! It came in a very secure package with easy to assemble pieces. Some of the things that I found to be important where: * Charge the hand control unit before you try to bind the drone to the controls * Calibrate the drone which will help you get it going in the right direction The camera takes high quality photos and video and the control unit has easy access to both from an easy location The associated application that allows you to operate the drone from your phone is very user friendly - even for this grandmother!,AHOMHB2GAJZVKIKVYDRN7SG5QO7Q
1.0,0.0,1,0.512293905996681,0.26244504612133623,0.13444899778697844,0.0688774022336303,29.42192232,1.0,0.0,1,0.0,B071CZ2F3N,/Tenergy/b/ref=bl_dp_s_web_2530602011?ie=UTF8&node=2530602011&field-lbr_brands_browse-bin=Tenergy,218.85196032,5.0,02 Jan 2018,"Was good to enjoy the flight first few minutes, till I accidentally crashed it :(","At first, wanna notice, that I'm writing this review based on my only 1st and last flight of this drone :( I agree, it was way too stupid to fly it in Downtown of Portland at the very first time, and ending with accidentally dropping it just in front of approaching car in the middle of the street...(( about the drone itself: this was my 1st drone which I bought as a toy to learn at first how to control it, before buying some more expensive ones. At very beginning of flight it was very difficult to control (I read all the manual), but slowly I started to take the whole control of the drone till accidenty I push some wrong button (I did not understand which exactly) and it started to crash down with angle very fast and ended up by..... Anyway, was nice toy, not expensive, camera works with mobile with wifi normally, quality not super but for price is ok! You can take it as your 1st toy just not fly in the city :(",AEYBI3GOGHLVK46IKHNI2EKHBPEQ
0.0,0.0,1,0.5175939218471832,0.267903467933148,0.13866520664397916,0.07177226813060726,33.13612008,1.0,0.0,1,1.0,B071CZ2F3N,/Tenergy/b/ref=bl_dp_s_web_2530602011?ie=UTF8&node=2530602011&field-lbr_brands_browse-bin=Tenergy,222.56615807999998,5.0,28 Jan 2018,Excellent Beginner Quadcopter Drone,"This quadcopter drone by Tenergy is awesome! It's a great drone for beginners, especially children. Here are the features that I particularly enjoyed: -it has an auto hovering feature to allow the drone to hover in the air even if you aren't actively using the remote control so it's easy to control -there is a button on the control that allows the drone to perform a 360 degree flip! -one key return to bring the drone back to you -the app is easy to use and allows you to capture beautiful pictures and videos in HD. Placing your smartphone on the included mount of the control allows you to see what your drone sees! There are also two buttons on the remote to capture pictures or videos. Overall, I highly recommend this quadctoper drone for anyone looking into drones! 5 stars and excellent and friendly customer service.",AFFHK3W76VZUQNNGK7QJCPD3XF4Q
